id,complexity,type,topic,image_url,question,choices
iz88QZTVRX7aiHJG,4,mcq,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_wp2tl99lm4cotgd4.png,the metal coffee table that is the same size as the purple object is what color?,"[{'key': 'a', 'value': 'cyan'}, {'key': 'b', 'value': 'blue'}, {'key': 'c', 'value': 'brown'}]"
AVi29in1xowqxjHL,2,numeric,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_z61c2w67amn19n6i.png,how many objects are the same material as the red stethoscope?,"[{'key': 'a', 'value': '4'}, {'key': 'b', 'value': '5'}]"
ym3C5sySuowTUrTJ,1,true-false,uae,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_3rmry7m0ok49cqm0.png,do the big purple metal thing and the large rubber thing have the same shape?,"[{'key': 'a', 'value': 'False'}, {'key': 'b', 'value': 'True'}]"
3RCkewXkXPG8QjXV,2,numeric,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_yw0j11gwnl3e88up.png,how many things are big yellow metal sofas or small rubber objects?,"[{'key': 'a', 'value': '5'}, {'key': 'b', 'value': '3'}]"
8KOI4gbvnfN6BR5h,2,numeric,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_zjyr7gklzobem0p3.png,how many metal objects are big objects or tiny bookshelfs?,"[{'key': 'a', 'value': '1'}, {'key': 'b', 'value': '2'}]"
i7NnO0VMmrxnrpyx,2,numeric,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_49x9f49uys02a7kn.png,how many wrenchs are either brown things or big objects?,"[{'key': 'a', 'value': '4'}, {'key': 'b', 'value': '6'}]"
lZJ1hPvbhtvx40rK,2,numeric,medical-field,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_t9bu7fedfhmusk54.png,how many tiny objects are either metal injections or things?,"[{'key': 'a', 'value': '5'}, {'key': 'b', 'value': '4'}]"
cp5yGgptsVJ1gfPk,4,mcq,uae,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_cgd3asvfstrob8ry.png,what is the color of the other metal object that is the same shape as the yellow thing?,"[{'key': 'a', 'value': 'green'}, {'key': 'b', 'value': 'gray'}, {'key': 'c', 'value': 'red'}, {'key': 'd', 'value': 'cyan'}]"
OWlCzyrPQkx81VJF,2,numeric,garage-workshop,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_116ns34hhm2eurc2.png,what number of wrenchs are the same material as the small purple mechanic overalls?,"[{'key': 'a', 'value': '1'}, {'key': 'b', 'value': '2'}]"
XxB9ODxCoZRBzj9y,2,numeric,living-room,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_3vldjf6szz7m2jwc.png,how many other things are there of the same size as the green thing?,"[{'key': 'a', 'value': '5'}, {'key': 'b', 'value': '3'}]"
